問題上,問題中,問題下,解答,識別文字,識別番号
,頑,に心を閉ざす。,かたくな,頑かたくな,379
事業の失敗を,憾,む。,うら,憾うら,380
転んで,強,かに腰を打った。,したた,強したた,381
慈善事業に,与,する。,くみ,与くみ,382
使途不明のゆくえを,糾,す。,ただ,糾ただ,383
過去をあれこれ,論,う。,あげつら,論あげつら,384
お祭りに,託,けて大騒ぎする。,かこつ,託かこつ,385
バチカンでローマ法王に,見,える。,まみ,見まみ,386
,態,とらしい大げさな反応をする。,わざ,態わざ,387
,約,めて言えば、これが結論です。,つづ,約つづ,388
,偏,に皆様のご協力のお陰です。,ひとえ,偏ひとえ,389
裏切り行為を知って激しく,詰,った。,なじ,詰なじ,390
お年寄りを,労,る心が大切だ。,いたわ,労いたわ,391
物語の主人公に,擬,える。,なぞら,擬なぞら,392
,件,の儲け話はうさん臭い。,くだん,件くだん,393
漢字の読み書きに,長,けている。,た,長た,394
夢物語に,現,をぬかす。,うつつ,現うつつ,395
友人の立場を,慮,って対処する。,おもんぱか,慮おもんぱか,396
事件を発端から,具,に調べる。,つぶさ,具つぶさ,397
屋外は風が吹き,遊,んでいる。,すさ,遊すさ,398
行き場を失って,屯,する。,たむろ,屯たむろ,399
生死の掟に,殉,う。,したが,殉したが,400
戦禍の悲,惨,さに心が惨む。,いた,惨いた,401
内情を,徐,に明かした。,おもむろ,徐おもむろ,402
君主の暴虐ぶりに皆,戦,いた。,おのの,戦おのの,403
蟻が残飯に,集,っている。,たか,集たか,404
芸能人に,肖,って同じ髪型にする。,あやか,肖あやか,405
蓮の,台,の半座を分かつ。,うてな,台うてな,406
悪い慣習は,革,めるべきだ。,あらた,革あらた,407
気持ちが自然に,解,れた。,ほぐ,解ほぐ,408
師匠に,扱,かれて腕を上げる。,しご,扱しご,409
シテとして,尉,を担う。,じょう,尉じょう,410
瓶の,括,れた部分を持つ。,くび,括くび,411
参加には,某,かのお金が必要です。,なにがし,某なにがし,412
膨大な資料を,閲,する。,けみ,閲けみ,413
工場設立から五十年に,垂,とする。,なんなん,垂なんなん,414
機械の調子は,概,ね良好です。,おおむ,概おおむ,415
大将が,殿,に控える。,しんがり,殿しんがり,416
,因,に僕と彼女は兄妹です。,ちなみ,因ちなみ,417
和解の,緒,が見つからない。,いとぐち,緒いとぐち,418
,転,た慚愧の念に堪えない。,うた,転うた,419
作り事だとは,努努,思わなかった。,ゆめゆめ,努努ゆめゆめ,420
何があっても生き,存,えてみせる。,ながら,存ながら,421
猫を一,番,で飼う。,つがい,番つがい,422
彼の行いは人の道に,戻,る。,もと,戻もと,423
父の作業着は,鈍,色だ。,にび,鈍にび,424
,妄,りに信じてはいけない。,みだ,妄みだ,425
,寡,暮らしの父を気にかける。,やもめ,寡やもめ,426
祖父の時代に,墾,いた土地。,ひら,墾ひら,427
クラスで彼女に,敵,う者はいない。,かな,敵かな,428
幼い子を,拐,すとは許せない。,かどわか,拐かどわか,429
星が庭を,清,かに照らす。,さや,清さや,430
出世するほど,頭,を垂れて働く。,こうべ,頭こうべ,431
,都,てここに書いてある通りです。,すべ,都すべ,432
伝統に,法,って進められた。,のっと,法のっと,433
,万,承ります。,よろず,万よろず,434
,予,め資料を作成しておく。,あらかじ,予あらかじ,435
,辛,い貧困生活を堪え忍ぶ。,つら,辛つら,436
,団,くなって花見を楽しんだ。,まる,団まる,437
,陸,でもない仕事にうんざりする。,ろく,陸ろく,438
,適,入った喫茶店で旧友に会った。,たまたま,適たまたま,439
仕事は,粗,予定通りに進んだ。,ほぼ,粗ほぼ,440
流行の服を上手く着,熟,す。,こな,熟こな,441
,応,に故郷の事を知るべし。,まさ,応まさ,442
互いに協力し合うことを,盟,う。,ちか,盟ちか,443
会社組織を人体に,準,える。,なぞら,準なぞら,444
,邪,なたくらみが暴かれる。,よこしま,邪よこしま,445
客間を和風に,設,える。,しつら,設しつら,446
事の真偽を厳しく,質,す。,ただ,質ただ,447
捜査の網の目を,潜,り抜ける。,くぐ,潜くぐ,448
,周,く世間に知れ渡っている。,あまね,周あまね,449
苦しい胸の,裏,を聞いてもらう。,うち,裏うち,450
日照りが続き草木が,末,枯れた。,うら,末うら,451
銀座を,漫,ろ歩く。,そぞ,漫そぞ,452
名声を,縦,にした英雄だ。,ほしいまま,縦ほしいまま,453
茶を,点,てて客人をもてなす。,た,点た,454
草で縄を,糾,う。,あざな,糾あざな,455
,席,を巻く勢いで人気を占める。,むしろ,席むしろ,456
猛勉強して成績向上に,力,める。,つと,力つと,457
先方の提案を,諾,う。,うべな,諾うべな,458
,罷,り間違えば大事故だ。,まか,罷まか,459
,辱,いお言葉感謝いたします。,かたじけな,辱かたじけな,460
格下に負けて,態,がない。,さま,態さま,461
長年の,凝,りを捨てて和解する。,しこ,凝しこ,462
水質の調査結果を,報,せる。,しら,報しら,463
冷たい水で喉を,潤,びらせる。,ほと,潤ほと,464
相手をにらみ据えて,嚇,した。,おど,嚇おど,465
将軍を,翼,ける役職につく。,たす,翼たす,466
バラの花が,芳,しい香りを放つ。,かぐわ,芳かぐわ,467
古寺の,階,を上る。,きざはし,階きざはし,468
,刺,のある言葉に傷ついた。,とげ,刺とげ,469
宣教師として布教に,勤,しむ。,いそ,勤いそ,470
彼の,直,向きさが信頼を生んでいる。,ひた,直ひた,471
前後の,弁,えもなく発言してしまう。,わきま,弁わきま,472
皆が,斉,しく立ち上がった。,ひと,斉ひと,473
,謙,って敬意を示す。,へりくだ,謙へりくだ,474
目の前を黒い影が,過,った。,よぎ,過よぎ,475
窓から様子を,斥,う。,うかが,斥うかが,476
功績を称えた作家の,碑,がある。,いしぶみ,碑いしぶみ,477
予想は外れたが,寧,ろ好い結果だ。,むし,寧むし,478
恩師に,事,える。,つか,事つか,479
説教するなど,痴,がましい。,おこ,痴おこ,480
翠は羽を以て自ら,残,なう。,そこ,残そこ,481
観光収入はドイツに,比,ぶ。,なら,比なら,482
保存のため大根を,埋,ける。,い,埋い,483
カメムシが悪臭を,放,る。,ひ,放ひ,484
ビルが,参差,として並び立つ。,しんし,参差しんし,485
炭には小さな,孔,が空いている。,あな,孔あな,486
,序,での節はお立ち寄りください。,つい,序つい,487
,打打,と釘を打つ。,ちょうちょう,打打ちょうちょう,488
このケーキはハートを,象,っている。,かたど,象かたど,489
しばらくの間、友人を,匿,う。,かくま,匿かくま,490
客の,需,めに応じて和服を仕立てる。,もと,需もと,491
爆発で,塊,が周囲に飛び散った。,つちくれ,塊つちくれ,492
不満を持つ民衆が口々に,喚,いた。,わめ,喚わめ,493
ライバル企業が急速に勢いを,伸,す。,の,伸の,494
失敗し財産も地を,掃,うに至った。,はら,掃はら,495
,遍,く全国に医療を提供する。,あまね,遍あまね,496
働き詰めで健康を,害,なう。,そこ,害そこ,497
,少,くしてすでに巨匠の風格を備える。,わか,少わか,498
私生活を,漫,りに話すべきではない。,みだ,漫みだ,499
神学に関する,籍,の初版本を読む。,ふみ,籍ふみ,500
神前でこれまでの己の所業を,白,す。,もう,白もう,501
歌手としての新境地を,拓,いた。,ひら,拓ひら,502
為す術もなく手を,束,ねている。,つか,束つか,503
武士には本名のほかに,字,がある。,あざな,字あざな,504
学芸会で,首,めのセリフをとちった。,はじ,首はじ,505
会議の内容を,諦,らかにする。,つまび,諦つまび,506
,条,の通らない主張を繰り返す。,すじ,条すじ,507
愛用の品とともに,棺,に納める。,ひつぎ,棺ひつぎ,508
洞ヶ峠を,極,め込む。,き,極き,509
,端,から相手にされなかった。,はな,端はな,510
隣家の犬が,頻,りに吠えている。,しき,頻しき,511
住民票の,謄,しを提出する。,うつ,謄うつ,512
時代の趨勢に,抗,うことはできない。,あらが,抗あらが,513
米を,炊,ぐ間に夕食のおかずを作る。,かし,炊かし,514
神出鬼没の敵の影に,脅,える。,おび,脅おび,515
医師から短時間の外出が,聴,された。,ゆる,聴ゆる,516
名勝に,准,えて造った庭園だ。,なぞら,准なぞら,517
火が,爆,ぜる暖炉の周りでくつろぐ。,は,爆は,518
牧師が静かに,宣,う声が聞こえる。,のたま,宣のたま,519
努力で成功を,購,う。,あがな,購あがな,520
事がうまく運ばずに,鬱,ぎ込む。,ふさ,鬱ふさ,521
古墳を,発,いて古代を研究する。,あば,発あば,522
情報不足で,確,とは断定できない。,しか,確しか,523
強烈な刺激臭に思わず鼻を,撮,んだ。,つま,撮つま,524
手出しができず無力感に,苛,まれる。,さいな,苛さいな,525
山の中腹に石の,階,が見える。,きざはし,階きざはし,526
,郭,によって城への敵の侵入を防ぐ。,くるわ,郭くるわ,527
手柄を立て王に,謁,える。,まみ,謁まみ,528
天子,親,から朝敵を征伐する。,みずか,親みずか,529
恩師の忠告も頑として,肯,じない。,がえん,肯がえん,530
,額,ずいて詫び、誠意を示す。,ぬか,額ぬか,531
足に,創,を負う。,きず,創きず,532
右に行くか,将,左に行くか。,はた,将はた,533
違反の,廉,で取り調べを受けた。,かど,廉かど,534
不正が,露,になる。,あらわ,露あらわ,535
悲しい知らせに泣き,号,んだ。,さけ,号さけ,536
,奇,しくも同年齢だった。,く,奇く,537
先輩に,効,うが、うまくいかない。,なら,効なら,538
,方,に父が訪ねた日だった。,まさ,方まさ,539
版を改め大幅に,訂,す。,ただ,訂ただ,540
焼き魚の身を,解,す。,ほぐ,解ほぐ,541
,布袋,は七福神のひとりだ。,ほてい,布袋ほてい,542
失恋してから心が,荒,んだ。,すさ,荒すさ,543
風雨を,衝,いて決行する。,つ,衝つ,544
国境に,標,が立てられる。,しめ,標しめ,545
飲酒運転の,科,で逮捕される。,とが,科とが,546
,普,く世界に知られることとなる。,あまね,普あまね,2109
,抑,、君が対処できる問題ではない。,そもそも,抑そもそも,2110
姫は隣国の王に,妻,わされた。,めあ,妻めあ,2111
思わず笑みが,零,れた。,こぼ,零こぼ,2112
最後の,負,みは君だけだ。,たの,負たの,2113
身勝手な,族,が横行している。,やから,族やから,2114
海外進出を心,私,かに決意する。,ひそ,私ひそ,2115
歯に,衣,着せぬ言い方をする。,きぬ,衣きぬ,2116
辺りが夜の,帳,に包まれる。,とばり,帳とばり,2117
昔の,好,で大目に見よう。,よしみ,好よしみ,2118
,実,に働いて蓄財する。,まめ,実まめ,2119
,和,いで静かな海を眺望する。,な,和な,2120
,丹,塗りのお椀を買った。,に,丹に,2121
神殿に農耕を,掌,る女神を祭る。,つかさど,掌つかさど,2122
何度食べても,堪,えられない味だ。,こた,堪こた,2123
苦労したから喜びも,一入,だ。,ひとしお,一入ひとしお,2124
有名画家の名が,署,された版画。,しる,署しる,2125
上役に,便,い成り上がる。,へつら,便へつら,2126
,伝,を頼って職に就く。,つて,伝つて,2127
望外の豊作でまさに収穫の,秋,だ。,とき,秋とき,2128
,交,に別れの挨拶をした。,こもごも,交こもごも,2129
家の,斜,向かいに大きな桜がある。,はす,斜はす,2130
,凍,てつくような夜空の下を歩く。,い,凍い,2131
吹雪は止まらず,剰,え停電になった。,あまつさ,剰あまつさ,2132
目的もなく,徒,に時を費やす。,いたずら,徒いたずら,2133
恥ずかしさに思わず顔が,熱,った。,ほて,熱ほて,2134
,賢,しらに振る舞う。,さか,賢さか,2135
旧習に,泥,んだ計画だ。,なず,泥なず,2136
歓迎会は慣習に,則,って行われる。,のっと,則のっと,2137
親鳥が巣箱でヒナを,擁,る。,まも,擁まも,2138
,荘,かな琴の音色に耳を傾ける。,おごそ,荘おごそ,2139
通りの地蔵はほこりに,塗,れていた。,まみ,塗まみ,2140
めぼしい物はないか,漁,る。,あさ,漁あさ,2141
,動,もすると意見が偏ってしまう。,やや,動やや,2142
時ならぬ雑音で気分が,殺,がれた。,そ,殺そ,2143
,戯,れ事と思って聞いてください。,ざ,戯ざ,2144
荒れ地を,均,して公園にする。,なら,均なら,2145
包囲網を敷けば逃げ,果,せまい。,おお,果おお,2146
作戦が,尽,く失敗する。,ことごと,尽ことごと,2147
高速道路の渋滞に,焦,れる。,じ,焦じ,2148
話が,逸,れて要点がつかめない。,そ,逸そ,2149
なめこはその,滑,りが特徴だ。,ぬめ,滑ぬめ,2150
法律に,委,しい専門家を呼ぶ。,くわ,委くわ,2151
半端物を,散,売りする。,ばら,散ばら,2152
,偶,買った宝くじが当たった。,たまたま,偶たまたま,2153
初心を,完,うするのは容易ではない。,まっと,完まっと,2154
,英,の先に蝶がとまる。,はなぶさ,英はなぶさ,2155
署員を派遣して,轄,まりを強化する。,とりし,轄とりし,2156
バレリーナが,雅,に舞った。,みやび,雅みやび,2157
,幼,い笑顔に心が和む。,いとけな,幼いとけな,2158
不可解な行動に首を,傾,げる。,かし,傾かし,2159
ゆったり,寛,げる特等室だ。,くつろ,寛くつろ,2160
新人選手の練習ぶりは実に,拙,い。,まず,拙まず,2161
全員が,挙,って反対する。,こぞ,挙こぞ,2162
自宅の間取りを,詳,らかに製図する。,つまび,詳つまび,2163
武力を,攻,いて戦闘に備える。,みが,攻みが,2164
,薦被,りが祝いを盛り上げる。,こもかぶ,薦被こもかぶ,2165
就職は,伝,があるから安心だ。,つて,伝つて,2166
古式に,則,った結婚式を挙げる。,のっと,則のっと,2167
新校舎が,略,完成した。,ほぼ,略ほぼ,2168
その話は,措,いておこう。,お,措お,2169
,動,もすると気が滅入る。,やや,動やや,2170
雪道に足跡を,署,す。,しる,署しる,2171
暮れ,泥,む夕日を写生する。,なず,泥なず,2172
日焼けで,熱,った顔を冷やす。,ほて,熱ほて,2173
,徒,し世を憂える。,あだ,徒あだ,2174
