熟語,熟語の読み,一字訓,一字訓の読み,識別番号1,識別番号2,識別番号3,識別番号4
嬰鱗,えいりん,嬰れる,ふ,547,651,5009,
礪行,れいこう,礪く,みが,549,705,4957,
岨峻,そしゅん,岨つ,そばだ,551,661,5005,
曝書,ばくしょ,曝す,さら,553,4937,,
肇国,ちょうこく,肇める,はじ,555,707,,
劃然,かくぜん,劃る,くぎ,557,,,
掩蓋,えんがい,掩う,おお,559,5045,,
夷坦,いたん,夷らか,たい,561,,,
轟音,ごうおん,轟く,とどろ,563,,,
葺屋,しゅうおく,葺く,ふ,565,675,4060,
翫笑,がんしょう,翫る,あなど,567,677,,
阻碍,そがい,碍げる,さまた,569,679,,
弘毅,こうき,毅い,つよ,571,683,4955,
弼匡,ひっきょう,弼ける,たす,573,4997,,
永訣,えいけつ,訣れる,わか,575,5011,,
迅責,じんせき,訊う,と,577,691,,
編輯,へんしゅう,輯める,あつ,579,693,4935,
窺管,きかん,窺く,のぞ,581,5017,,
趨勢,すうせい,趨く,おもむ,583,,,
臆度,おくたく,臆る,おしはか,585,4943,,
烹煎,ほうせん,烹る,に,587,,,
鍾美,しょうび,鍾める,あつ,589,,,
堰塞,えんそく,堰く,せ,591,4983,,
冒瀆,ぼうとく,瀆す,けが,593,,,
瑞穣,ずいじょう,穣る,みの,595,,,
慰撫,いぶ,撫でる,な,597,5093,,
侃侃,かんかん,侃い,つよ,599,701,4985,
輿望,よぼう,輿い,おお,601,5015,,
哀咽,あいえつ,咽ぶ,むせ,603,681,,
綿亙,めんこう,亙る,わた,605,,,
赫灼,かくしゃく,赫く,かがや,607,5075,,
歎賞,たんしょう,歎える,たた,609,,,
匡弼,きょうひつ,匡す,ただ,611,4933,,
亨通,こうつう,亨る,とお,613,5051,,
窺見,きけん,窺く,のぞ,615,695,,
恢廓,かいかく,恢い,ひろ,617,,,
繫泊,けいはく,繫ぐ,つな,619,2275,5035,
切磋,せっさ,瑳く,みが,621,,,
紛擾,ふんじょう,擾れる,みだ,623,4969,,
周匝,しゅうそう,匝る,めぐ,625,5041,,
進捗,しんちょく,捗る,はかど,627,5001,,
瀆職,とくしょく,瀆す,けが,629,2319,4963,
遁辞,とんじ,遁れる,のが,631,2321,4959,
汎論,はんろん,汎い,ひろ,633,4995,,
綻裂,たんれつ,綻ぶ,ほころ,635,,,
蔽護,へいご,蔽う,おお,637,5061,,
勃爾,ぼつじ,勃かに,にわ,639,5031,,
肇造,ちょうぞう,肇める,はじ,641,4058,4925,
趨向,すうこう,趨く,おもむ,643,4939,,
区劃,くかく,劃る,くぎ,645,,,
研礪,しれい,礪く,みが,647,,,
呪罵,じゅば,呪う,のろ,649,,,
賭博,とばく,賭ける,か,653,,,
優渥,ゆうあく,渥い,あつ,655,4977,,
恢偉,かいい,恢きい,おお,657,,,
徽言,きげん,徽い,よ,659,4929,,
茶托,ちゃたく,托く,お,663,,,
破綻,はたん,綻びる,ほころ,665,,,
鳩首,きゅうしゅ,鳩める,あつ,667,,,
啓蒙,けいもう,蒙い,くら,669,,,
諫輔,かんほ,諫める,いさ,671,,,
蕪雑,ぶざつ,蕪れる,みだ,673,,,
匡弼,きょうひつ,弼ける,たす,685,,,
靱性,じんせい,靱やか,しな,687,3367,5021,
自訣,じけつ,訣れる,わか,689,,,
編纂,へんさん,纂める,あつ,697,2277,5067,
冶金,やきん,冶る,い,699,,,
叢生,そうせい,叢がる,むら,703,2313,4989,
険岨,けんそ,岨つ,そばだ,2221,,,
擾化,じょうか,擾らす,な,2223,,,
起臥,きが,臥す,ふ,2225,,,
貰赦,せいしゃ,貰す,ゆる,2227,,,
董督,とうとく,董す,ただ,2229,4991,,
輯睦,しゅうぼく,輯らぐ,やわ,2231,,,
秀穎,しゅうえい,穎れる,すぐ,2233,,,
遡及,そきゅう,遡る,さかのぼ,2235,,,
栗然,りつぜん,栗く,おのの,2237,,,
蕩揺,とうよう,蕩く,うご,2239,,,
按門,あんもん,按べる,しら,2241,,,
蟬聯,せんれん,聯なる,つら,2243,,,
激昂,げきこう,昂る,たかぶる,2245,,,
羨望,せんぼう,羨む,うらやむ,2247,,,
押捺,おうなつ,捺す,おす,2249,,,
淵玄,えんげん,淵い,おくぶか,2251,,,
粛穆,しゅくぼく,穆らぐ,やわ,2253,,,
侮蔑,ぶべつ,蔑ろ,ないがし,2255,,,
狭窄,きょうさく,窄まる,せば,2257,,,
纏絡,てんらく,纏わる,まつ,2259,,,
墨煤,ぼくばい,煤ける,すす,2261,3921,,
遺馨,いけい,馨り,かお,2263,,,
咳気,がいき,咳く,せ,2265,,,
狙候,そこう,狙う,ねら,2267,,,
弥漫,びまん,弥く,あまね,2269,,,
掠奪,りゃくだつ,掠める,かす,2271,,,
掬飲,きくいん,掬う,すく,2273,5053,,
仰臥,ぎょうが,臥す,ふ,2279,3925,5055,
点綴,てんてい,綴る,つづ,2281,,,
註釈,ちゅうしゃく,註す,ときあか,2283,,,
盈虚,えいきょ,盈ちる,み,2285,4941,,
畢生,ひっせい,畢わる,お,2287,4921,,
遡行,そこう,遡る,さかのぼ,2289,3327,3923,5037
諮諏,ししゅ,諏る,はか,2291,,,
按罪,あんざい,按べる,しら,2293,5089,,
左輔,さほ,輔ける,たす,2295,,,
丞相,じょうしょう,丞ける,たす,2297,,,
捧腹,ほうふく,捧える,かか,2299,,,
八卦,はっけ,卦う,うらな,2301,,,
氾濫,はんらん,氾れる,あふ,2303,,,
趨走,すうそう,趨い,はや,2305,,,
夙気,しゅくき,夙い,はや,2307,,,
宥恕,ゆうじょ,恕す,ゆる,2309,,,
嘗薬,しょうやく,嘗める,な,2311,5049,,
湛水,たんすい,湛える,たた,2315,,,
顚落,てんらく,顚れる,たお,2317,5007,,
牟食,ぼうしょく,牟る,むさぼ,2323,4971,,
背戻,はいれい,戻る,もと,2325,5073,,
鬱勃,うつぼつ,勃こる,お,2327,,,
蕃殖,はんしょく,蕃る,しげ,3261,4949,,
凱風,がいふう,凱らぐ,やわ,3263,5025,,
鍾寵,しょうちょう,鍾める,あつ,3265,4927,,
猷念,ゆうねん,猷る,はか,3267,4993,,
謬説,びゅうせつ,謬る,あやま,3269,4979,,
凋残,ちょうざん,凋む,しぼ,3271,4965,,
捷報,しょうほう,捷つ,か,3273,4947,,
劃定,かくてい,劃る,くぎ,3275,4931,,
蒐荷,しゅうか,蒐める,あつ,3277,5027,,
允可,いんか,允す,ゆる,3279,4056,4923,
檮昧,とうまい,昧い,くら,3281,4967,,
烹炊,ほうすい,烹る,に,3283,,,
腫脹,しゅちょう,腫れる,は,3285,,,
暢茂,ちょうも,暢びる,の,3287,,,
聯亙,れんこう,亙る,わた,3289,4961,,
酔臥,すいが,臥す,ふ,3291,,,
繫駕,けいが,繫ぐ,つな,3293,,,
降魔,ごうま,降す,くだ,3295,,,
疏水,そすい,疏る,とお,3297,4953,,
詣拝,けいはい,詣でる,もう,3299,,,
僻見,へきけん,僻る,かたよ,3301,,,
磨蠣,まれい,蠣く,みが,3303,,,
晦冥,かいめい,晦い,くら,3305,5019,,
萌芽,ほうが,萌む,めぐ,3307,,,
遁走,とんそう,遁れる,のが,3309,,,
醇朴,じゅんぼく,醇い,あつ,3311,4975,,
諫止,かんし,諫める,いさ,3313,5039,,
決潰,けっかい,潰える,つい,3315,,,
幽昧,ゆうまい,昧い,くら,3317,,,
嘉瑞,かずい,嘉い,よ,3319,,,
捺印,なついん,捺す,お,3321,,,
蔑如,べつじょ,蔑む,さげす,3323,,,
膏沃,こうよく,膏える,こ,3325,4981,,
歎傷,たんしょう,歎く,なげ,3329,,,
厭悪,えんお,悪む,にく,3331,4973,,
耽溺,たんでき,耽る,ふけ,3333,4951,,
悉皆,しっかい,悉く,ことごと,3335,,,
奉戴,ほうたい,戴く,いただ,3337,,,
苦諫,くかん,諫める,いさ,3339,,,
錯謬,さくびゅう,謬る,あやま,3341,,,
匡済,きょうさい,済う,すく,3343,,,
敦朴,とんぼく,敦い,あつ,3345,,,
輔弼,ほひつ,弼ける,たす,3347,,,
蚤起,そうき,蚤い,はや,3349,5057,,
欽若,きんじゃく,欽む,つつし,3351,,,
艶冶,えんや,艶かしい,なまめ,3353,,,
擢用,てきよう,擢く,ぬ,3355,,,
倒潰,とうかい,潰れる,つぶ,3357,,,
彫琢,ちょうたく,琢く,みが,3359,,,
晦蔵,かいぞう,晦ます,くら,3361,,,
賂謝,ろしゃ,賂う,まいな,3363,5077,,
溯及,そきゅう,溯る,さかのぼ,3365,,,
挽車,ばんしゃ,挽く,ひ,3917,,,
禿筆,とくひつ,禿びる,ち,3919,,,
頓挫,とんざ,頓く,つまず,4052,5003,,
一瞥,いちべつ,瞥る,み,4054,4999,,
烹箭,ほうせん,烹る,に,4945,,,
夙成,しゅくせい,夙い,はや,4987,,,
訊責,じんせき,訊う,と,5013,,,
切瑳,せっさ,瑳く,みが,5023,,,
鳩合,きゅうごう,鳩める,あつ,5029,,,
敦信,とんしん,敦い,あつ,5033,,,
冶態,やたい,冶る,い,5043,,,
恢偉,かいい,恢い,ひろ,5047,,,
蕪辞,ぶじ,蕪れる,みだ,5059,,,
湛然,たんぜん,湛える,たた,5063,,,
翫笑,がんしょう,翫ぶ,もてあそ,5065,,,
豊穣,ほうじょう,穣る,みの,5069,,,
纏着,てんちゃく,纏わる,まつ,5071,,,
欽羨,きんせん,欽む,つつし,5079,,,
遼遠,りょうえん,遼か,はる,5081,,,
不屑,ふせつ,屑い,いさぎよ,5083,,,
偓促,あくせく,偓わる,かか,5085,,,
稗官,はいかん,稗かい,こま,5087,,,
戚容,せきよう,戚える,うれ,5091,,,
跨年,こねん,跨ぐ,また,5095,,,
瀦水,ちょすい,瀦まる,た,5097,,,
頗僻,はへき,頗る,かたよ,5099,,,
稽停,けいてい,稽る,とどこお,5101,,,
牢守,ろうしゅ,牢い,かた,5103,,,
椎破,ついは,椎つ,う,5105,,,
杜口,とこう,杜ぐ,ふさ,5107,,,
暢叙,ちょうじょ,暢べる,の,5109,,,
積沓,せきとう,沓なる,かさ,5111,,,
厭世,えんせい,厭う,いと,5113,,,
婁絡,ろうらく,婁ぐ,つな,5115,,,
尤物,ゆうぶつ,尤れる,すぐ,5117,,,
繡閤,しゅうこう,繡しい,うつく,5119,,,
