問題a上,問題a下,問題b上,問題b下,解答,選択肢,識別番号
,玩動物として改良された。,イタリア映画を偏,する。,愛,あい,1865
川の傍流は,渠になっている。,,愚な王による暴政に苦しむ。,暗,あん,1845
貢献度に応じて,文する。,社長が断,を下す。,案,あん,2963
,鬱な雰囲気の古い洋館だ。,炎天下を避けて緑,に憩う。,陰,いん,1817
会社ぐるみの,蔽工作だった。,店を息子夫婦に任せて,居する。,隠,いん,1843
凌,の志を持ち続ける。,,霞のごとき敵の大群だ。,雲,うん,2947
若さと才能が,溢する作品だ。,,柄な態度が気に入らない。,横,おう,1883
彼は精力が,溢している。,国王が専,の限りを尽くす。,横,おう,4062
田舎の茅,に隠遁している。,社,を売却して赤字を埋める。,屋,おく,1867
二人は晴れて,燭の典を挙げた。,仏教美術の精,と言われる。,華,か,1847
邸内に迷い込んで誰,された。,幾,学模様のカバーを買う。,何,か,1881
,什を玩味する。,,日に式典を挙行する。,佳,か,2961
計画は,餅に帰した。,叔父は,廊を経営している。,画,が,1831
独裁政権が内部から瓦,した。,貴重な資料の,題を記す。,解,かい,4068
海外の鉄道事業に参,する。,両者には,然たる差がある。,画,かく,1889
経済界を代表する碩,だ。,晩,ながらひたむきに努力した。,学,がく,1863
,烹着姿でお節料理を作る。,市場は群雄,拠の様相だ。,割,かっ,1885
多忙の,隙を縫って出かける。,,然するところのない佳作だ。,間,かん,1841
武力と才,に秀でた君主だ。,引き締まった軀,が男らしい。,幹,かん,2941
古,を迎えても未だ壮健だ。,,代の文人として名高い。,希,き,1813
伝説の投手が,籍に入る。,行く末に,胎を抱く。,鬼,き,2949
陳列用の什,を納入する。,幼いわりに才,を感じさせる。,器,き,2951
冠状動脈に,窄が見られる。,兄にはやや,量なところがある。,狭,きょう,1819
奇,な言動で周囲を驚かす。,苦し紛れに,飾して語る。,矯,きょう,1839
私,なく社会貢献に尽くす。,抽象概念を委,する。,曲,きょく,1801
土地の境界を巡って,争中だ。,不幸が,累に及ぶ。,係,けい,1809
講和会議で相手国から,質をとる。,諫,を疎まれ、左遷された。,言,げん,4064
警察が,買人を逮捕する。,博識で世,に長けている。,故,こ,1871
企業が政府の庇,を受ける。,自らの志を,持する。,護,ご,3929
薄,の美女の役を演じる。,賭け事は射,心を煽る。,幸,こう,1797
新勢力が相次ぎ勃,する。,殖産,業が盛んに唱えられた。,興,こう,1807
