問題上,問題中,問題下,解答,識別番号
社史の,ヘンサン,を任された。,編纂,877
肩を,スボ,めて歩く。,窄,878
開演前に楽屋で,クマド,りを施す。,隈取,879
蔵書を読み,マク,る。,捲,880
憧れの国に思いを,ハ,せた。,馳,881
群がる敵を,ナ,ぎ倒した。,薙,882
裏庭に雑草が,ハビコ,る。,蔓延,883
先日の失礼に対して,ワ,び状を書く。,詫,884
昨年度の成績を,リョウガ,した。,凌駕,885
,ツバ,迫り合いの接戦をものにする。,鍔,886
,クボ,みに接着剤を注入する。,窪,887
満面に笑みを,タタ,えて妻を迎える。,湛,888
将棋が上達する,ヒケツ,を教わる。,秘訣,889
,ワニ,口を打ち鳴らす。,鰐,890
,シャクネツ,地獄のような暑さだ。,灼熱,891
酒色に,タンデキ,する自堕落な生活だ。,耽溺,892
仏壇の,イハイ,のほこりを払う。,位牌,893
,ルリ,色の海に囲まれた島を訪れる。,瑠璃,894
彼の収入は,ケタ,が一つ違う。,桁,895
,コンペキ,の空に白い雲がうかぶ。,紺碧,896
この計画の理念を,ハソク,する。,把捉,897
,サ,えた弁舌で聴衆を魅了した。,冴,898
,セキツイ,の歪みを矯正する。,脊椎,899
たまったほこりを,ハタ,く。,叩,900
戦も終わり,ソウク,を横たえる。,痩躯,901
古本などを売り,ココウ,の資を得る。,糊口,902
横領高官に,テッツイ,を下す。,鉄槌,903
,フモト,の町には母が住んでいる。,麓,904
深い眠りから,カクセイ,する。,覚醒,905
ごみで,アマドイ,が詰まった。,雨樋,906
西の空に雲が,ヨウエイ,している。,揺曳,907
長良川の,ウ,飼いは有名だ。,鵜,908
,ジンゾウ,は老廃物を尿として出す。,腎臓,909
おばさんにお菓子を,モラ,った。,貰,910
この童話は政治的,グウイ,を含む。,寓意,911
迎えにくる,テハズ,になっている。,手筈,912
トラブルの,テンマツ,を説明する。,顚末,913
機密の,ロウエイ,が問題となった。,漏洩,914
歳末の町は非常な,ニギ,わいだった。,賑,915
人のことを,センサク,するな。,詮索,916
不信感が,マンエン,する。,蔓延,917
,サジ,から争いに発展する。,些事,918
皆の前で,シッセキ,される。,叱責,919
前年の成績を,リョウガ,できた。,凌駕,920
思い出を,サカナ,に一杯やる。,肴,921
台風に備えて,ドノウ,を積む。,土嚢,922
,エンコン,による犯罪が続く。,怨恨,923
,センコウ,とともに雷鳴が轟いた。,閃光,924
野山に,カスミ,が棚引く。,霞,925
狭いので,ダイリビナ,だけ飾る。,内裏雛,926
外資の,エジキ,になるだけだ。,餌食,927
,アキラ,め切れない夢がある。,諦,928
物言いが神経を,サカナ,でする。,逆撫,929
最後,ツウチョウ,を突き付ける。,通牒,930
髪に,クシ,を入れる。,櫛,931
手土産に,センベイ,を持参する。,煎餅,932
反乱の,シュカイ,を突き止める。,首魁,933
宿敵との,ツバ,迫り合いを制した。,鍔,934
俄に,シノツ,く雨が降り注いだ。,篠突,935
理不尽な,イジ,めに悩まされる。,苛,936
,ミケン,にしわをよせる。,眉間,937
難攻不落の城を前に攻め,アグ,む。,倦,938
宴席の,シュコウ,を用意する。,酒肴,939
情報が,サクソウ,して実態が不明だ。,錯綜,940
,ミコシ,を担いだ行列が町内を巡る。,神輿,941
