問題,解答,識別番号
この芸術潮流は東方へと伝波し、現地の文化と融合して不思議な様式を生み出した。,波→播,1741
重化学工業地帯に林立する工場から排出される培煙で大気汚染が深刻な問題になっている。,培→煤,1742
長年の功績が認められて褒章を受章したが、本人は謙尊するばかりで傲慢なところがない。,尊→遜,1743
深山幽谷の地に古くに創建された由緒ある寺があり、先般の風雪で傷んだ屋根を拭き替えた。,拭→葺,1744
鉄塔の頭頂部にある機器が竜巻で破損し、備え付けの羅旋階段を上って修理した。,羅→螺,1745
北国の森林地帯には、極寒の地に適応した猛斤類や大型野生鳥獣が生息している。,斤→禽,1746
銀行に白昼立て籠もった強盗が人質を解放したとの報に家族は安途し、胸を撫で下ろした。,途→堵,1747
取材で戦闘地域を訪れたところ、見るも無惨な光景が広がっており肌の泡立つ思いがした。,泡→粟,1748
所信表明は常踏句を連ねただけの駄文で、なんの新鮮味も訴求力もない空疎な演説だった。,踏→套,1749
素行不良の少年を改心させて将来への希望を与えられたのは、教師妙利に尽きる思いである。,妙→冥,1750
長く不治の病とされてきたが、科学技術の進展で特効薬が開発され完治の初光が見え始めた。,初→曙,1751
天才的発明家としての華麗な功績の陰で、親族は彼の放逃癖に苦労が絶えなかった。,逃→蕩,1752
兵法に長けた武将は、深遠な知謀と強甚な精神とで合戦と和睦を繰り返し、乱世を駆けた。,甚→靱,1753
山麓の白樺林の伐採計画の説明が始まるや反論が飛び交い、了遠なる前途を思って嘆息した。,了→遼,1754
低層の茅屋が櫛庇するひなびた漁村を抜けて、盈月を中天に仰ぐ磯辺に出た。,庇→比,1755
片肘を脇側にもたせ掛ける、優雅で物憂げな公達の姿を御簾越しに描いた大和絵を見る。,側→息,1756
父から貰った衿の部分に家紋の繊細かつ巧緻な指繍が施されていた。,指→刺,1757
歴史に造型の深い教授は、県の重要無形文化財である郷土芸能の保護活動に挺身している。,型→詣,1758
幼少期には呂鈍な振る舞いで周囲を心配させたが、驚異的な才能を開花させた。,呂→魯,1759
環境保護の観点から間伐材を利用して、急公配の斜面に転落防止の柵を設えた。,公→勾,1760
天賦の才を直向きに磨いた若い画家は、瞬く間に師の技量を凌河し出藍の誉れを飾った。,河→駕,1761
解決の端緒を見出せない宗教紛争によって、現地の住民が塗丹の苦しみを味わっている。,丹→炭,1762
寡占状態を形成してきた三社の瓦城を脅かす外資系の企業が、新たに勃興してきた。,瓦→牙,1763
旧友の心無い侮蔑の言葉に憤慨し思わず拳箇を握り締めたが、ぐっと怒りを堪えた。,箇→固,1764
野草を好む母は山登りの際に袖枕本の植物図鑑を携帯し、蕨を採取してきた。,枕→珍,1765
露天風呂の滑らかな湯に身を浸し、地元特産の野趣に富んだ珍味佳幸に舌鼓を打った。,幸→肴,1766
弟子の時分に何遍も聞いた棟梁の武勇伝を、会槌を打ちつつも厭倦の体で拝聴した。,会→相,1767
景気低迷の現状を打破する創意工夫を怠る企業が淘多されるのは必然の成り行きだ。,多→汰,1768
憂うべきことに一国全体が退永の風に傾き、嘗て旺盛だった進取の気質は急速に鳴りを潜めた。,永→嬰,1769
凡悩の数だけ撞くとされる厳粛な除夜の鐘の音が漆黒の闇の中、周辺の村に響き渡った。,凡→煩,1770
律儀で僑骨あるその好漢は、江戸火消しの頼もしい鳶頭として一躍市中に名を馳せた。,僑→俠,1771
往時羽振りを利かせていた職業斡旋業は、政策転換の影響により兆落が顕著となった。,兆→凋,1772
斯界に名を轟かせ久方ぶりに復帰した演出家は、身上である軽抜な着想で観客の度胆を抜いた。,軽→警,1773
信州の叔父の邸宅に仮遇して受験勉強に猛進した甲斐あって、遂に難関校に合格した。,遇→寓,1774
研究者として実績を重ねて雌腹十年、漸く巡ってきた雄飛の好機を逸してしまった。,腹→伏,1775
母は、第一線を退き予て念願の田舎暮らしを実現した伯父の気儘な引遁生活を羨んでいる。,引→隠,1776
敵地に派遣した斥侯の報告を聞いた軍師は、帳に戻るや戦の策略を練るのに没頭した。,侯→候,1777
旧弊に囚われて技術革新を遅疑した結果、新興企業の後陣を悉く拝した。,陣→塵,1778
作業中誤って頻死の重傷を負った刀鍛冶は、奇跡的に一命を取り留め回復を遂げた。,頻→瀕,1779
自由奔放な作風の若い詩人は篤実な王の逆隣に触れ、その篇什は悉く焚書となった。,隣→鱗,1780
桜咲く季節を迎え、祖母は気も漫ろに孫たちからの吉報を閣首して待っている。,閣→鶴,1781
衣姿の雲水は霞の立ち込める山懐で、鳥の声に包まれて仏暁の勤行に専心している。,仏→払,1782
辺境地帯の蛮族が朝廷に叛旗を翻すに至った転末を認めた上奏が、国司から届けられた。,転→顚,1783
国賓として来日した大統領夫妻を招き、陛下も臨席されての宮中晩讃会が開催された。,讃→餐,1784
師範は、剣道の稽古に於いては向然の気を養うことが肝要だと、繰り返し力説していた。,向→浩,1785
監督は、意欲と才能を重視し現状の技量の高拙は不問とすると述べ、先輩達を狼狽させた。,高→巧,1786
耐震構造に欠陥のある建物が崩壊し、杜桟な工事が露見して被害住民が憤激した。,桟→撰,1787
往時は鮮烈だった船旅の記憶も、半世紀が経つ今ではおぼろげで糊糊としている。,湖→糊,1788
皇位継承を巡る骨肉の争いに幻滅した親王は、提髪して仏門に帰依し、読経に耽った。,提→剃,1789
聖歌隊によるミサ曲の峻玄な響きが、降誕祭を祝う教会の尖塔に吸い込まれていった。,玄→厳,1790
普段とは見違える精楚な衣裳で現れた彼女の美貌に魅了され、弟は動揺したようだった。,精→清,1791
西瓜を盗んだ兄弟は、確りお灸を据えられた後、顔是ない子供だからと放免になった。,顔→頑,1792
電車内などの公共の場での傍弱無人な姦しいお喋りには、全く以て閉口する。,弱→若,1793
関係を緊密にさせない比較的緩やかな柱帯こそ、情報探索に有効であるとの研究がある。,柱→紐,1794
連日の恨めしい干天に待ちわびた慈雨が降り注ぎ、萎れた草花はみるみる遡生した。,遡→蘇,1795
救援投手として登板するや敏捷な動作で兼制球を繰り出し、得点圏の走者を刺した。,兼→牽,1796
政府は、隣国の石油供給停止措置に異憾の意を表明し、強硬な態度で解除を要求した。,異→遺,2913
収賄容疑に問われた汚職議員との印象を払色できず、選挙に臨んだが苦戦した。,色→拭,2914
閣内不統一と民政混乱の責任を負い、丞相は謹んで書翰をもって皇帝に骸骨を乞うた。,常→丞,2915
一代で巨万の富を築き時代の超児と評された敏腕の経営者は、志半ばで病に倒れた。,超→寵,2916
異業種からの顧問就任だが、現地の内情は致悉しており仕事には何ら支障はない。,致→知,2917
職と住居を失い飢寒に苦しむ労働者が続出し、社会の状況は極めて必迫している。,必→逼,2918
大学で教鞭を執る諮問委員が官僚の煮え切らない答弁に激抗し、会議の中途で退席した。,抗→昂,2919
厳父は「梨下に冠を正さず」という諺を引用し、会計処理の粉飾を疑われた次男を諭した。,梨→李,2920
巧みに練られた作戦は隠蜜裡に進められ、遂に組織の中枢部への潜入に成功した。,蜜→密,2921
政府は税制優遇措置撤廃法案の成立のため、野党の回柔を試みたが奏功せず苦汁を嘗めた。,回→懐,2922
愛に恵まれない天涯孤独の画家の筆致からは、人生に対する悲哀と諦感がにじみ出ている。,感→観,2923
壮図を抱き情熱をもって夢を語ったが、朋友に荒唐無計と言下に否定された。,計→稽,2924
下請け業者から仲介料の名目で搾取を続け、案の定、急鼠猫を嚙むの事態を招いた。,急→窮,2925
隣国の宥和政策が独裁者を増長させ大戦惹起した歴史の迭を踏まないことが肝要だ。,迭→轍,2926
摩天楼の窓から見下ろすと、眼下に鬱藤しい濃い霧が立ち籠めている。,藤→陶,2927
一族は兵糧攻めに遭いながらも楼城しつつ抗戦を続け、援軍の到着を待った。,楼→籠,2928
年の瀬の繁華街は搔き入れ時で、怒濤の如く人波が店に押し寄せている。,搔→書,2929
新種の疫病が広まり、治療法に関する情報が錯争して流言飛語が蔓延る。,争→綜,2930
年貢の催促で踏留する藩の役人への賄賂と饗応のため、貧民の家計は更に困窮を極めた。,踏→逗,2931
友情と愛の狭間で揺れ動く心の葛闘を描いた小説が読者の共感を呼んだ。,闘→藤,2932
研究室に籠もって、歴代皇帝が編纂した解渋な漢籍の解読に苦悶する。,解→晦,2933
国のため一身を途して死地に赴いたが、銃弾を浴び非業の最期を遂げた。,途→賭,2934
錬瓦造りの古風な建物が舗道に立ち並ぶ寂れた旧都を、曇天が低く覆い尽くしていた。,錬→煉,2935
長年の功績で参与に昇格すると、身分に相応しい勘禄が備わってきた。,勘→貫,2936
教授は論文の註釈と梗概を一蔑すると、研究の参考となる書籍を列挙してくれた。,蔑→瞥,2937
天地を揺るがす豪音が乾坤の間に鳴り響き、帝都は無残にも木っ端微塵に壊滅した。,豪→轟,2938
新機能を搭載した製品が、慢性的に停滞している市場を席肩し、好況の呼び水となった。,肩→捲,2939
桔梗の刺繍を施した清粗な着物を仕立てて、令嬢の華燭の典に列席した。,粗→楚,2940
先夫を不慮の事故で亡くした後に再嫁した姉は、今は隣月を迎え、実家に戻って来ている。,隣→臨,3957
西欧諸国では、社会保障費に占める粗税負担率は、近年、上昇する傾向にある。,粗→租,3958
農民戦争の首怪は、謀殺された先の国王であると称して辺境地帯で政府に叛旗を翻した。,怪→魁,3959
大店の若旦那は、踊り、三味線、謡いなどの道楽に凝って、遂には財産を投尽してしまった。,投→蕩,3960
こしらえの良い背広を着て公安機関に出入りしていた記者は、実は敵国の間聴として働いていた。,聴→諜,3961
市長は、職権濫用を非難した報道に対し、事実を隈曲したものであると抗議の声明を発表した。,隈→歪,4092
「糟功の妻は堂より下さず」という中国の故事は、多分、万国共通の家族倫理と言えるであろう。,功→糠,4093
赤い鎧兜に身を包み、長柄の槍を小脇に挟んだ武将が、間撃を縫って敵の本陣へと馬を馳せた。,撃→隙,4094
祖父は骨陶品の蒐集が趣味であり、さまざまな道具を渉猟してはそれを鑑賞している。,陶→董,4095
蒙昧な民衆を教導し、世務を啓く者という意味で、新聞記者は社会の木拓と言われている。,拓→鐸,4096
