意味,上漢字,上読み,下漢字,下読み,識別番号1,識別番号2,識別番号3,識別番号4,識別番号5
非常に悲しんでいる様子,哀毀,あいき,骨立,こつりつ,4747,,,,
愛情が深いことのたとえ,愛及,あいきゅう,屋烏,おくう,4748,,,,
戦争によって追われた兵士や難民が多くいるさま,哀鴻,あいこう,遍野,へんや,4749,,,,
ぼんやりしていて、はっきりしない様子,曖昧,あいまい,模糊,もこ,4750,,,,
優秀な人材を熱心に探し求める様子,握髪,あくはつ,吐哺,とほ,4751,,,,
考えが浅い人は、ささいな事にも騒ぎ立てることのたとえ,浅瀬,あさせ,仇波,あだなみ,4752,,,,
非常にむごたらしい状態のたとえ,阿鼻,あび,叫喚,きょうかん,2338,2372,,,
人に取り入ること,阿附,あふ,迎合,げいごう,869,2381,,,
武装を解除して戦いを終わらせること,按甲,あんこう,休兵,きゅうへい,4753,,,,
老人を大事にすること,安車,あんしゃ,蒲輪,ほりん,4754,,,,
隠れて人を誹謗したり中傷したりすること,暗箭,あんせん,傷人,しょうじん,4755,,,,
元気や勢力が盛んなさまで、威勢のいい様子,意気,いき,軒昂,けんこう,2353,,,,
出世して故郷に帰ること,衣錦,いきん,還郷,かんきょう,4756,,,,
出世しても故郷に帰らなければ人に知られないことのたとえ,衣繡,いしゅう,夜行,やこう,4757,,,,
一目見ただけで、はっきりとわかるさま,一目,いちもく,瞭然,りょうぜん,3399,,,,
 最後まで行動、運命を共にすること,一蓮,いちれん,托生,たくしょう,2411,,,,
常に変化して測りがたいことのたとえ,一虚,いちえい,一盈,いちえい,2401,2416,,,
絶世の美女のたとえ,一顧,いっこ,傾城,けいせい,3425,,,,
価値がないものでも場合によっては極めて高い価値をもつこと,一壺,いっこ,千金,せんきん,4758,,,,
世の中の指導者,一世,いっせい,木鐸,ぼくたく,728,760,,,
人に対し厳しくしたり寛大にしたりすること,一張,いっちょう,一弛,いっし,3370,3410,,,
限りなく広々としたさま,一碧,いっぺき,万頃,ばんけい,830,852,,,
煩悩のせいで混乱して落ち着きがないこと,意馬,いば,心猿,しんえん,4759,,,,
古い習慣ややり方にとらわれて改めようとせず、その場しのぎに終始するさま,因循,いんじゅん,姑息,こそく,3419,,,,
学問と武芸ともに優れていること,允文,いんぶん,允武,いんぶ,4760,,,,
自分の意志がなく態度が一定しないこと,内股,うちまた,膏薬,こうやく,816,846,,,
はっきりしない様子。いい加減な様子,有耶,うや,無耶,むや,4761,,,,
たくさんものが集まったり散ったりすること,雲集,うんしゅう,霧散,むさん,4762,,,,
自分の運命を天に任せること,運否,うんぷ,天賦,てんぷ,3459,4763,,,
贅沢の限りを尽くすこと,栄耀,えいよう,栄華,えいが,739,3438,,,
中国の政治思想で、王朝の交代のこと,易姓,えきせい,革命,かくめい,4764,,,,
浅い考えで、自分を偽り悪事をはたらくこと,掩耳,えんじ,盗鐘,とうしょう,4765,,,,
自然の摂理に従い自ら楽しみを得ること,鳶飛,えんぴ,魚躍,ぎょやく,2418,3424,,,
物事がよく見える目と、他人の隠し事を聞き出す耳のこと,鳶目,えんもく,兎耳,とじ,4766,,,,
自在に物事を論じること,横説,おうせつ,竪説,じゅせつ,4767,,,,
気前よく人に振る舞うこと,椀飯,おうばん,振舞,ぶるまい,4768,,,,
やさしく穏やかなこと,温柔,おんじゅう,敦厚,とんこう,725,812,,,
人の値打ちは死んでからはじめて定まるということ,蓋棺,がいかん,事定,じてい,4769,,,,
相手を簡単に打ち負かすこと,鎧袖,がいしゅう,一触,いっしょく,2397,2402,,,
世間で語られるうわさ話のこと,街談,がいだん,巷語,こうご,3447,,,,
世間のつまらないうわさ話,街談,がいだん,巷説,こうせつ,2379,2389,,,
物事の本質を深く理解して、知見を広めること,格物,かくぶつ,致知,ちち,4770,,,,
凡人が優れた者のまねをして失敗すること,画虎,がこ,類狗,るいく,808,872,,,
永遠に変わらないこと,河山,かざん,帯礪,たいれい,733,873,,,
神仏にいのること,加持,かじ,祈禱,きとう,710,850,3372,,
目的達成のために長い間苦労を重ねる,臥薪,がしん,嘗胆,しょうたん,2334,2375,,,
めでたい月日,嘉辰,かしん,令月,れいげつ,793,853,,,
強固な意志で動じないこと,確乎,かっこ,不抜,ふばつ,817,4771,,,
他人の文などを盗むこと,活剝,かっぱく,生吞,せいどん,2363,3430,,,
希少な図書のこと,河図,かと,洛書,らくしょ,4772,,,,
分不相応な地位についた者が他人に威張り散らすこと,瓦釜,がふ,雷鳴,らいめい,4773,,,,
国などが小さく分裂すること,瓜剖,かぼう,豆分,とうぶん,4774,,,,
美声のたとえ,迦陵,かりょう,頻伽,びんが,2349,4775,,,
すぐれた才能はあるが世間には知られていない大人物のたとえ,臥竜,がりょう,鳳雛,ほうすう,3393,,,,
何の束縛もなくのんびり暮らすこと,閑雲,かんうん,野鶴,やかく,2376,3375,,,
目は肥えているが、実際の技能や能力は低いこと,眼高,がんこう,手低,しゅてい,3451,,,,
他人の作った文の趣意に沿いながらも独自の表現を加えること,換骨,かんこつ,奪胎,だったい,4776,,,,
物事の本質を見通す力が弱いこと,管中,かんちゅう,窺豹,きひょう,4777,,,,
遊んでばかりで本業がおろそかになること,玩物,がんぶつ,喪志,そうし,740,843,,,
地位や物の価値の順番が逆になるなどして乱れること,冠履,かんり,顚倒,てんとう,4778,,,,
物事の基準・法則,規矩,きく,準縄,じゅんじょう,2380,2414,,,
行いや心がきちんとしていて正しいこと,規行,きこう,矩歩,くほ,4779,,,,
自分の信念を貫く様子,気骨,きこつ,稜稜,りょうりょう,4780,,,,
今にも死にそうな様子,気息,きそく,奄奄,えんえん,2329,2391,,,
縁起のよい日,吉日,きちじつ,良辰,りょうしん,839,3967,,,
医者にする敬称,橘井,きっせい,杏林,きょうりん,4781,,,,
非常に優れた作品のこと,鬼斧,きふ,神工,しんこう,4782,,,,
自分自身をかえりみたり身近なことに注意すべきという教え,脚下,きゃっか,照顧,しょうこ,4783,,,,
深く悲しみ涙が止まらない様子,泣血,きゅうけつ,漣如,れんじょ,4784,,,,
人々が寄り集まって相談すること,鳩首,きゅうしゅ,協議,きょうぎ,4785,,,,
額をつきあわせて相談すること,鳩首,きゅうしゅ,凝議,ぎょうぎ,767,795,,,
貴重なもの。重い地位・名声のたとえ,九鼎,きゅうてい,大呂,たいりょ,2331,2393,,,
古い慣習を守り続けること,旧套,きゅうとう,墨守,ぼくしゅ,711,749,3975,,
他からの助けがなく一人だけで戦うこと,僑軍,きょうぐん,孤進,こしん,4786,,,,
他人からの戒めによく耳を傾けること,尭鼓,ぎょうこ,舜木,しゅんぼく,4787,,,,
他人をそそのかして、あおり立てること,教唆,きょうさ,煽動,せんどう,4788,,,,
ふだんの立ち居振る舞い,行住,ぎょうじゅう,坐臥,ざが,734,848,,,
しっかりと食事をとって体を大事にすること,彊食,きょうしょく,自愛,じあい,4789,,,,
世の中が平和で穏やかなこと,尭年,ぎょうねん,舜日,しゅんじつ,4790,,,,
太平の世の中を形容する語,尭風,ぎょうふう,舜雨,しゅんう,2373,2387,,,
真理をまげた説を唱えて時勢に迎合すること,曲学,きょくがく,阿世,あせい,857,876,,,
誉れを貴び死ぬことと何もなさずに生きること,玉砕,ぎょくさい,瓦全,がぜん,861,3432,,,
極めて勢いが盛んなこと,旭日,きょくじつ,昇天,しょうてん,2406,3386,,,
心にわだかまりがなくおおらかなさま,虚心,きょしん,坦懐,たんかい,2366,2383,,,
ふだんのどうということもない立居ふるまい,挙措,きょそ,進退,しんたい,3423,,,,
求めたものと違うものが得られること,魚網,ぎょもう,鴻離,こうり,2369,3402,,,
本物そっくりのにせもの,魚目,ぎょもく,燕石,えんせき,2377,2400,,,
月日,金烏,きんう,玉兎,ぎょくと,743,3439,,,
小おどりして喜ぶさま,欣喜,きんき,雀躍,じゃくやく,2339,2374,,,
勤勉で質素につとめ、武事を重んじること,勤倹,きんけん,尚武,しょうぶ,4791,,,,
仕事に励み、懸命に骨を折ること,勤倹,きんけん,力行,りっこう,3453,4792,,,
美しいものに、それにも増して美しいものを加えること,錦上,きんじょう,添花,てんか,4793,,,,
詩文の才能にすぐれていること,錦心,きんしん,繡口,しゅうこう,2348,3448,,,
立派な人物として成功すること,金声,きんせい,玉振,ぎょくしん,4794,,,,
極楽浄土にあるといわれる蓮の葉の台,九品,くほん,蓮台,れんだい,4795,,,,
考え方や態度が一変する,君子,くんし,豹変,ひょうへん,784,,,,
自分の妻子の謙遜語,荊妻,けいさい,豚児,とんじ,761,800,,,
身分の高い人,卿相,けいしょう,雲客,うんかく,2392,2412,,,
