問題上,問題中,問題下,漢字,識別番号1,識別番号2,識別番号3
,アコギ,が浦に引く網。,阿漕,3688,,
歓楽極まりて,アイジョウ,多し。,哀情,2658,,
,アイサツ,は時の氏神。,挨拶,3724,,
,ヨシ,の髄から天井覗く。,葦,2667,,
蠅が飛べば,アブ,も飛ぶ。,虻,2695,,
,アブハチ,取らず。,虻蜂,1252,1277,
柳下恵は,アメ,を見て老人を養う物とし、盗跖は錠を開くるに良き物とす。,飴,1159,,
,アメ,と鞭。,飴,1256,,
濡れ手で,アワ,。,粟,1349,,
たたく人の,アンマ,を取る。,按摩,1265,,
口に入るものなら,アンマ,の笛でも。,按摩,1293,,
明珠を,ヤミ,に投ず。,闇,2734,,
,ヤミヨ,に烏、雪に鷺。,闇夜,2633,,
,クラ,掛け馬の稽古。,鞍,1343,,
,ダテ,の薄着。,伊達,3700,,
,イハツ,を継ぐ。,衣鉢,1222,,
過ちて改めざる、是を過ちと,イ,う。,謂,2704,,
野に,イケン,無し。,遺賢,2705,,
,セイア,は以て海を語るべからず。,井蛙,2610,,
,イソ,のあわびの片思い。,磯,1322,,
,イソギワ,で船を破る。,磯際,2719,,
,イッカン,の風月。,一竿,2754,,
禽鳥百を数うると雖も,イッカク,に如かず。,一鶴,1358,,
李白,イット,詩百篇。,一斗,3701,,
中流に舟を失えば,イッピョウ,も千金。,一瓢,2685,,
,イチモツ,の鷹も放さねば捕らず。,逸物,1210,,
,イツミン,を挙ぐれば、天下の民、心を帰す。,逸民,1345,,
,イバラ,も花持つ。,茨,2751,,
,イワシ,の頭も信心から。,鰯,3738,,
,ウロ,の争い。,烏鷺,1229,,
亭主の好きな赤,エボシ,。,烏帽子,2740,,
,ウ,の目鷹の目。,鵜,2631,,
管を以て天を,ウカガ,う。,窺,3657,,
,ウソ,も方便。,嘘,2657,,
,ウバザクラ,の狂い咲き。,姥桜,3742,,
,ウリ,に爪あり爪に爪なし。,瓜,2673,,
,カデン,に履を納れず。,瓜田,2750,,
人の,ウワサ,も七十五日。,噂,3733,,
,ヒバリ,高く上がれば晴れ。,雲雀,2624,,
香,ジ,の下必ず死魚あり。,餌,1423,,
犬骨折って鷹の,エジキ,。,餌食,2661,,
,エイジ,の貝を以て巨海を測る。,嬰児,1333,,
衣食足りて,エイジョク,を知る。,栄辱,1223,,
正直貧乏、横着,エイヨウ,。,栄耀,2677,,
,サザエ,に金平糖。,栄螺,1178,1429,
天機,セツロウ,すべからず。,洩漏,2727,,
濡れぬ先こそ露をも,イト,え。,厭,1175,,
珍客も長座に過ぎれば,イト,われる。,厭,1292,,
日　西山にせまりて気息,エンエン,たり。,奄奄,1158,,
,ウラ,みに報ゆるに徳を以てす。,怨,3703,,
耳を,オオ,いて鐘を盗む。,掩,3736,,
,エンジャク,鳳を生まず。,燕雀,1425,,
,サル,の木登り、蟹の横這い。,猿,3646,,
負け犬の,トオボ,え。,遠吠,1415,,
,エンオウ,の偶。,鴛鴦,1250,,
,エンオウ,の契りを結ぶ。,鴛鴦,1426,4123,
神明に,オウドウ,無し。,横道,3726,,
,コウセン,の路上老少無し。,黄泉,2595,,
難波の葦は伊勢の浜,オギ,。,荻,2694,,
愛,オクウ,に及ぶ。,屋烏,2640,,
,オクビョウ,者の義理知らず。,臆病,2744,,
風が吹けば,オケヤ,が儲かる。,桶屋,2725,,
,ボタン,に唐辛子、竹に虎。,牡丹,2627,,
棚から,ボタモチ,。,牡丹餅,2737,,
,キャラ,の仏に箔置く。,伽羅,1179,,
,キャラ,も焚かず屁もこかず。,伽羅,1362,,
,キャラ,で作った仏同然。,伽羅,4122,,
,カコウ,有りといえども、食らわずんばその旨きをしらず。,佳肴,1244,,
百年,カセイ,を俟つ。,河清,1369,,
,ワザワ,いを転じて福となす。,禍,3690,,
,カセイ,は虎よりも猛し。,苛政,1198,,
親の意見と,ナスビ,の花は、千に一つも仇は無い。,茄,1171,,
先祖の屋敷を,ナス,畑。,茄,1240,,
,ブンボウ,牛羊を走らす。,蚊虻,2626,,
,ガベイ,に帰す。,画餅,1336,,
,カイケイ,の恥を雪ぐ。,会稽,1242,1424,
狂瀾を既倒に,メグ,らす。,廻,3681,,
,ケガ,の功名。,怪我,1363,,
天網,カイカイ,疎にして漏らさず。,恢恢,1214,1430,3990
朝菌は,カイサク,を知らず。,晦朔,2687,,
,ナマコ,の油揚げを食う。,海鼠,3694,,
寝た牛に,アクタ,掛くる。,芥,3635,,
,ケシ,の中に須弥山あり。,芥子,1364,,
,カニ,は甲羅に似せて穴を掘る。,蟹,2600,,
,ガイダ,珠を成す。,咳唾,2698,,
,ガイコツ,を乞う。,骸骨,1259,,
,アゴ,振り三年。,顎,3634,,
石部金吉鉄,カブト,。,兜,2747,,
,ホリュウ,の質。,蒲柳,3699,,
,カマ,を破り船を沈む。,釜,3638,,
魚の,フチュウ,に遊ぶが如し。,釜中,2660,,
蜂の巣に,カマ,。,鎌,3697,,
,カユ,腹も一時。,粥,1172,,
貧乏人の,カユ,はゆるくなる。,粥,1295,,
天は尊く地は卑くして,ケンコン,定まる。,乾坤,3709,,
,カンリ,を貴んで頭足を忘る。,冠履,1303,,
河童の,カンゲイコ,。,寒稽古,2643,,
,カンジョウ,合って、銭足らず。,勘定,3655,,
女三人寄れば,カシマ,しい。,姦,3730,,
,カンジン,の前には機巧を言うことなかれ。,姦人,1361,,
失策は人にあり、,カンジョ,は神にあり。,寛恕,3660,,
,カン,を蓋いて事定まる。,棺,3723,,
,タマキ,の端無きが如し。,環,1197,,
百竿,カントウ,に一歩を進む。,竿頭,2697,,
,カンタン,相照らす。,肝胆,3678,,
砂長じて,イワオ,となる。,巌,3659,,
先の,カリ,より手前の雀。,雁,3663,,
,キカ,居くべし。,奇貨,1271,1431,
,キシン,矢の如し。,帰心,1309,,
,キセン,の分かつところは行いの善悪にあり。,貴賤,1310,,
,キコ,の勢い。,騎虎,3671,,
断じて行えば,キシン,も之を避く。,鬼神,2682,,
,アリ,の熊野参り。,蟻,1235,,
,アリ,の穴から堤も崩れる。,蟻,3996,,
千丈の堤も,ギケツ,より崩れる。,蟻穴,1350,,
,マリ,と手と歌は公家の業。,鞠,2628,,
昔取った,キネヅカ,。,杵柄,1417,3992,
,ショリ,の歎。,黍離,3707,,
