識別番号,頻出度,分野,頁,正誤1,問題番号,文章,漢字,読み,送り仮名,補足
1,A,a読み,①,,1,来た道を辿ってゴールを目指す。,辿,たど,る,訓読み
2,A,a読み,①,x,2,その人の力量は擢んでている。,擢,ぬき,んでる,訓読み
3,A,a読み,①,x,3,近所のうわさ話に殆困っている。,殆,ほとほと,,訓読み
4,A,a読み,①,x,4,会社の柵を断ち切りたい。,柵,しがらみ,,訓読み
5,A,a読み,①,,5,性格が捌けているといわれる。,捌,さば,く,訓読み
6,A,a読み,①,,6,巽の方角にきれいな星が点在する。,巽,たつみ,,訓読み
7,A,a読み,①,x,7,萎れかけた花を水に挿す。,萎,しお,れる,訓読み
8,A,a読み,①,,8,意識不明の状態から蘇った。,蘇,よみがえ,る,訓読み
9,A,a読み,①,,9,父は頗る上機嫌で出迎えてくれた。,頗,すこぶ,る,訓読み
10,A,a読み,①,x,10,その山には椙が林立している。,椙,すぎ,,訓読み
11,A,a読み,①,x,11,すばらしい贈り物を嘉する。,嘉,よみ,する,訓読み
12,A,a読み,①,x,12,帰宅途中で屡訪れる店だ。,屡,しばしば,,訓読み
13,A,a読み,①,x,13,そんな些細なことも忽せにしない。,忽,ゆるが,せ,訓読み
14,A,a読み,①,x,14,人を詑くことなく生きていたい。,詑,あざむ,く,訓読み
15,A,a読み,①,,15,夕暮れに湖の漣を見つめていた。,漣,さざなみ,,訓読み
16,A,a読み,①,x,16,知人に誹られ気がふさぐ。,誹,そし,る,訓読み
17,A,a読み,①,x,17,葎は広い範囲に亘って密生する。,葎,むぐら,,訓読み
18,A,a読み,①,,18,眼鏡に適う人物はいなかった。,適,かな,う,訓読み
19,A,a読み,①,x,19,旧例に泥んでいては進歩がない。,泥,なず,む,訓読み
20,A,a読み,①,,20,その頑さは誰に似たのだろう。,頑,かたくな,,訓読み
21,A,a読み,①,,21,荻の根茎が地中を走る。,荻,おぎ,,訓読み
22,A,a読み,①,,22,子供の頃、神社の狛犬が怖かった。,狛犬,こまいぬ,,訓読み
